jump_percentage,bids_in_last_minute,is_self_outbidding,is_fraud
3.654714800722692,3,0,0
7.095202848819803,1,0,0
4.772051897008727,2,0,0
4.569327696224931,1,0,0
0.5928230504822447,1,0,0
8.23369674347403,3,1,1
3.5088126592395525,1,0,0
1.8936184985449058,14,0,1
3.3222652238409847,1,0,0
9.30372129122136,3,0,0
4.662696825859273,2,1,0
2.5269491463132265,2,0,0
4.845851395518689,1,0,0
4.210339973056801,2,0,0
4.13932567458791,3,0,0
4.326159378100699,3,0,0
4.4498634834715585,2,0,0
2.7681418253172287,2,0,0
9.026333933529363,2,0,0
8.946414305804275,3,0,0
1.7977085846861398,3,0,0
3.5940056196075556,2,0,0
4.287609756245148,17,0,1
4.529516988556897,3,0,0
2.643009469530403,1,0,0
3.5968009158037155,2,0,0
8.488786498603588,2,0,0
2.2072133259130746,3,0,0
2.9657291160942845,3,0,0
1.8206525012606292,3,0,0
8.230371765361161,2,0,0
2.460674051357717,1,0,0
1.348729071772735,2,0,0
0.9375991049787856,1,0,0
2.2452391617692227,1,0,0
9.76829690816919,2,0,0
6.248176907658565,3,0,0
8.148610087503688,2,0,0
0.747527751553166,1,0,0
1.3739156837065076,18,0,1
9.845072654963177,1,0,0
9.338029405959325,1,0,0
5.070138313050999,3,0,0
4.801131192651341,3,0,0
4.9761393140923476,3,0,0
2.6560027315388997,7,0,1
9.4733510040314,2,0,0
6.016610287626885,3,0,0
7.247720217782034,1,0,0
7.819990153422485,1,0,0
1.2218921930076452,1,0,0
3.862957910674334,3,0,0
8.658365209670416,3,0,0
6.888374731237774,2,0,0
6.206779615167809,1,0,0
4.877721580765863,3,0,0
3.172449469472054,2,0,0
2.651081248332675,1,0,0
1.2826265212449008,1,0,0
9.650425089228458,1,0,0
2.570092463246157,1,0,0
0.8698702192490262,1,0,0
4.373299821319639,2,0,0
75.93754423013348,1,0,1
4.0137986168299395,1,0,0
0.7002662740711011,3,0,0
207.1456991360434,1,0,1
3.6238148695617887,3,0,0
5.4206250132695,1,0,0
6.965302536901464,1,0,0
2.1834891083017753,2,0,0
4.14755780239251,1,0,0
6.063686907635969,2,1,1
3.930360500455281,1,0,0
3.8857097433490897,2,0,0
4.212184506239494,15,0,1
6.765306825687608,1,0,0
1.5721523747712411,3,0,0
4.432122181549106,10,0,1
75.07424173197231,2,0,1
2.712688328445817,2,0,0
6.1651122475366895,2,0,0
4.021751241858949,2,0,0
9.810591996179202,2,0,0
3.4479176000211256,1,0,0
4.954887942947456,3,0,0
4.462005435177746,1,0,0
7.305506023583414,3,0,0
0.8015657710433919,2,0,0
8.205574762538557,1,0,0
2.7785776573014465,9,0,1
7.676595455909262,3,0,0
5.352438409897057,2,0,0
3.6453957740033798,2,0,0
2.563945304691713,3,0,0
4.99686470366161,3,0,0
187.99173193222296,1,0,1
4.509936165270134,15,0,1
5.802355920186225,1,0,0
69.37400541543555,2,0,1
0.6269929909642585,2,0,0
6.20432902911388,2,0,0
4.4486007735161035,2,0,0
11.618741167940962,2,1,1
7.877613511841552,3,0,0
4.797073037525812,2,0,0
1.1603240668943358,2,0,0
7.162093354412454,2,0,0
3.8320043348409336,1,0,0
0.7998912158938726,3,0,0
7.859874136393322,2,0,0
7.351013048031834,2,0,0
5.11856242460977,2,0,0
3.951661843890255,1,0,0
2.1913416852626386,1,0,0
4.84434808097053,3,0,0
0.6915331301199938,1,0,0
7.729859007382439,1,0,0
2.0403478494540064,3,0,0
0.5513467748903638,2,0,0
4.826976121928992,1,0,0
4.342827207660806,1,0,0
2.302115466076219,3,0,0
6.416779767152875,1,0,0
9.514206536000568,3,0,0
9.407783875857625,1,0,0
5.4683243935054096,3,0,0
9.966279798450847,3,1,0
280.7289358883035,1,0,1
60.48391639971719,1,0,1
2.2347132817816413,3,0,0
6.14615147230266,3,0,0
2.896401921624119,3,0,0
4.0260353404645475,2,0,0
4.515522886745544,1,0,0
96.626670696444,2,0,1
7.57193978333789,2,0,0
2.2022069089405645,3,0,0
5.263330078553923,3,0,0
0.5982831664906495,1,0,0
7.017377138106269,1,0,0
7.705329599436703,2,0,0
4.677800786937365,1,0,0
8.136146459593014,1,0,0
7.751426733211233,1,0,0
6.412929594876968,2,0,0
1.4513612335143358,2,0,0
9.29949614484214,2,1,1
8.230608807891702,2,0,0
0.8277868267340969,1,0,0
17.410374171780205,2,1,1
4.394096452114738,2,0,0
7.086943148660697,2,0,0
